date,title,desc,theme,month,text
2025-06-19,"""한국인 여기서 초대박"" 순식간에 '주가 4배'…3170억 뭉칫돈 넣었다 - 머니투데이 - 머니투데이","""한국인 여기서 초대박"" 순식간에 '주가 4배'…3170억 뭉칫돈 넣었다 - 머니투데이&nbsp;&nbsp;머니투데이",스테이블코인,2025-06,"""한국인 여기서 초대박"" 순식간에 '주가 4배'…3170억 뭉칫돈 넣었다 - 머니투데이 - 머니투데이 ""한국인 여기서 초대박"" 순식간에 '주가 4배'…3170억 뭉칫돈 넣었다 - 머니투데이&nbsp;&nbsp;머니투데이"
2025-06-19,"서클, 스테이블코인 법안 통과 후 급등…IPO 이후 500% 상승 - 디지털투데이","서클, 스테이블코인 법안 통과 후 급등…IPO 이후 500% 상승&nbsp;&nbsp;디지털투데이",스테이블코인,2025-06,"서클, 스테이블코인 법안 통과 후 급등…IPO 이후 500% 상승 - 디지털투데이 서클, 스테이블코인 법안 통과 후 급등…IPO 이후 500% 상승&nbsp;&nbsp;디지털투데이"
2025-06-10,"홍콩, 스테이블코인 법 8월 1일부터 시행…디지털 자산 '붐' 오나 - 연합인포맥스","홍콩, 스테이블코인 법 8월 1일부터 시행…디지털 자산 '붐' 오나&nbsp;&nbsp;연합인포맥스",스테이블코인,2025-06,"홍콩, 스테이블코인 법 8월 1일부터 시행…디지털 자산 '붐' 오나 - 연합인포맥스 홍콩, 스테이블코인 법 8월 1일부터 시행…디지털 자산 '붐' 오나&nbsp;&nbsp;연합인포맥스"
2025-06-25,"한은 ""스테이블코인 확산, 금융·외환시장에 잠재적 위험"" - 연합뉴스","한은 ""스테이블코인 확산, 금융·외환시장에 잠재적 위험""&nbsp;&nbsp;연합뉴스",스테이블코인,2025-06,"한은 ""스테이블코인 확산, 금융·외환시장에 잠재적 위험"" - 연합뉴스 한은 ""스테이블코인 확산, 금융·외환시장에 잠재적 위험""&nbsp;&nbsp;연합뉴스"
2025-06-26,"美 스테이블코인 법안, '테라사태' 권도형 재판에도 영향 가능성 - 연합뉴스","美 스테이블코인 법안, '테라사태' 권도형 재판에도 영향 가능성&nbsp;&nbsp;연합뉴스",스테이블코인,2025-06,"美 스테이블코인 법안, '테라사태' 권도형 재판에도 영향 가능성 - 연합뉴스 美 스테이블코인 법안, '테라사태' 권도형 재판에도 영향 가능성&nbsp;&nbsp;연합뉴스"
2025-06-26,"미국 국채 시장, 스테이블코인이 끌어올리나 - 연합뉴스","미국 국채 시장, 스테이블코인이 끌어올리나&nbsp;&nbsp;연합뉴스",스테이블코인,2025-06,"미국 국채 시장, 스테이블코인이 끌어올리나 - 연합뉴스 미국 국채 시장, 스테이블코인이 끌어올리나&nbsp;&nbsp;연합뉴스"
2025-06-16,[생생한 주식쇼 생쇼] 삼성에스디에스 (018260) - 매일경제 마켓,[생생한 주식쇼 생쇼] 삼성에스디에스 (018260)&nbsp;&nbsp;매일경제 마켓,스테이블코인,2025-06,[생생한 주식쇼 생쇼] 삼성에스디에스 (018260) - 매일경제 마켓 [생생한 주식쇼 생쇼] 삼성에스디에스 (018260)&nbsp;&nbsp;매일경제 마켓
2025-06-18,"[단독] 美 스테이블코인 USDC 발행사 서클, 한국은행 만났다 - 뉴스웨이","[단독] 美 스테이블코인 USDC 발행사 서클, 한국은행 만났다&nbsp;&nbsp;뉴스웨이",스테이블코인,2025-06,"[단독] 美 스테이블코인 USDC 발행사 서클, 한국은행 만났다 - 뉴스웨이 [단독] 美 스테이블코인 USDC 발행사 서클, 한국은행 만났다&nbsp;&nbsp;뉴스웨이"
2025-06-26,"카카오페이, 이틀 만에 또 거래정지…스테이블코인 테마 과열 - v.daum.net","카카오페이, 이틀 만에 또 거래정지…스테이블코인 테마 과열&nbsp;&nbsp;v.daum.net",스테이블코인,2025-06,"카카오페이, 이틀 만에 또 거래정지…스테이블코인 테마 과열 - v.daum.net 카카오페이, 이틀 만에 또 거래정지…스테이블코인 테마 과열&nbsp;&nbsp;v.daum.net"
2025-06-30,이 정도 거래량 맞아?…천하제일 단타대회 펼쳐진 테마주는 - 매일경제 마켓,이 정도 거래량 맞아?…천하제일 단타대회 펼쳐진 테마주는&nbsp;&nbsp;매일경제 마켓,스테이블코인,2025-06,이 정도 거래량 맞아?…천하제일 단타대회 펼쳐진 테마주는 - 매일경제 마켓 이 정도 거래량 맞아?…천하제일 단타대회 펼쳐진 테마주는&nbsp;&nbsp;매일경제 마켓
2025-06-10,"민주, 디지털자산기본법 발의 “원화 스테이블코인 발행 신속 추진” - 한겨레","민주, 디지털자산기본법 발의 “원화 스테이블코인 발행 신속 추진”&nbsp;&nbsp;한겨레",스테이블코인,2025-06,"민주, 디지털자산기본법 발의 “원화 스테이블코인 발행 신속 추진” - 한겨레 민주, 디지털자산기본법 발의 “원화 스테이블코인 발행 신속 추진”&nbsp;&nbsp;한겨레"
2025-06-05,"스테이블코인 발행사 서클, IPO로 1.5조원 조달...기업가치 11조원에 달해 - 글로벌이코노믹","스테이블코인 발행사 서클, IPO로 1.5조원 조달...기업가치 11조원에 달해&nbsp;&nbsp;글로벌이코노믹",스테이블코인,2025-06,"스테이블코인 발행사 서클, IPO로 1.5조원 조달...기업가치 11조원에 달해 - 글로벌이코노믹 스테이블코인 발행사 서클, IPO로 1.5조원 조달...기업가치 11조원에 달해&nbsp;&nbsp;글로벌이코노믹"
2025-06-04,"“리플, 서클 인수 위해 100억 달러 XRP 매도 가능성” - 글로벌이코노믹","“리플, 서클 인수 위해 100억 달러 XRP 매도 가능성”&nbsp;&nbsp;글로벌이코노믹",스테이블코인,2025-06,"“리플, 서클 인수 위해 100억 달러 XRP 매도 가능성” - 글로벌이코노믹 “리플, 서클 인수 위해 100억 달러 XRP 매도 가능성”&nbsp;&nbsp;글로벌이코노믹"
2025-06-11,[박혜진의 블록체인 아카이브] 증시에서 화답한 '디지털자산법 발의' - 오피니언뉴스,[박혜진의 블록체인 아카이브] 증시에서 화답한 '디지털자산법 발의'&nbsp;&nbsp;오피니언뉴스,스테이블코인,2025-06,[박혜진의 블록체인 아카이브] 증시에서 화답한 '디지털자산법 발의' - 오피니언뉴스 [박혜진의 블록체인 아카이브] 증시에서 화답한 '디지털자산법 발의'&nbsp;&nbsp;오피니언뉴스
